global_step,episode,step_in_ep,avg_r_speed,avg_r_orientation,avg_r_lane,avg_r_collision,avg_r_offroad,avg_r_total,speed_kmh
17355,10,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17405,10,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17455,10,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17505,10,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17555,10,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17605,10,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17655,10,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17705,10,1700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17755,10,1750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17805,10,1800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17855,10,1850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17905,10,1900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
17955,10,1950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
18005,10,2000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
18055,11,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
18105,11,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
18155,11,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
18205,11,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
18255,11,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
